analysis,metric_public_label,opportunity_definition,manuscript_role,numerator_n,denominator_n,percent,wilson_95_low_percent,wilson_95_high_percent,unit,heuristic_warning
RQ3,Distribution target: feminine,Visible distribution event,Supporting result,2702,4186,64.55,63.09,65.98,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ3,Distribution target: gender unspecified,Visible distribution event,Supporting result,666,4186,15.91,14.83,17.05,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ3,Distribution target: mixed multiple,Visible distribution event,Supporting result,557,4186,13.31,12.31,14.37,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ3,Distribution target: not visible,Visible distribution event,Supporting result,217,4186,5.18,4.55,5.90,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ3,Distribution target: masculine,Visible distribution event,Supporting result,32,4186,0.76,0.54,1.08,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ3,Distribution target: gender diverse,Visible distribution event,Supporting result,8,4186,0.19,0.10,0.38,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ3,Distribution target: mutual or reciprocal,Visible distribution event,Supporting result,2,4186,0.05,0.01,0.17,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ3,Distribution target: unclear,Visible distribution event,Supporting result,2,4186,0.05,0.01,0.17,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ3,Feminine or mixed-multiple distribution target,Visible distribution event,Supporting result,3259,4186,77.85,76.57,79.09,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ1,Distribution target position visible,Visible distribution event,Primary result,3967,4186,94.77,94.05,95.40,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ1,Distribution actor position visible,Visible distribution event,Primary result,1053,4186,25.16,23.86,26.49,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ2,Creation-to-distribution target-label consistency,Creation and distribution stages and target positions visible,Secondary within-instrument diagnostic,1737,1773,97.97,97.20,98.53,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ2,Distribution-to-exposure target-label consistency,Distribution and exposure stages and target positions visible,Secondary within-instrument diagnostic,3733,3743,99.73,99.51,99.85,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ2,Three-stage target-label consistency,"Creation, distribution, and exposure stages and target positions visible",Secondary within-instrument diagnostic,1661,1697,97.88,97.08,98.46,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ4,Feminine objectification visible,Strict-feminine distribution target,Exploratory instrument-dependent result,1532,2702,56.70,54.82,58.56,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ4,Feminine coding in any of four person-position fields,Strict-feminine distribution target,Exploratory instrument-dependent result,489,2702,18.10,16.69,19.59,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ4,Feminine objectification with no feminine coding in four person-position fields,Strict-feminine distribution target,Exploratory instrument-dependent result,1246,2702,46.11,44.24,48.00,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
MQ1,No visible authorization language: Frozen v0.3 labels,Visible distribution event,Measurement sensitivity only,3417,4186,81.63,80.43,82.77,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
MQ1,No visible authorization language: Narrow explicit-victim-or-stealth boundary,Visible distribution event,Measurement sensitivity only,2961,4186,70.74,69.34,72.09,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
MQ1,No visible authorization language: Broad leakage-semantics boundary,Visible distribution event,Measurement sensitivity only,2364,4186,56.47,54.97,57.97,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ4,Feminine desire-holder position visible,Strict-feminine distribution target,Supporting result component,254,2702,9.40,8.36,10.56,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ4,Feminine pleasure-holder position visible,Strict-feminine distribution target,Supporting result component,222,2702,8.22,7.24,9.31,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ4,Feminine refusal/resistance position visible,Strict-feminine distribution target,Supporting result component,22,2702,0.81,0.54,1.23,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
RQ4,Feminine attributed-speech position visible,Strict-feminine distribution target,Supporting result component,81,2702,3.00,2.42,3.71,unique title text,Conventional unique-title-text heuristic only; no external superpopulation; not sampling error for the retained analytical sample; approximate independence of unique title texts
