scope,source_scope_id,scope_records,analysis,source_analysis_id,source_metric_id,measure,selected_n,comparison_selected_n,eligible_n,estimate_percent,heuristic_95_low_percent,heuristic_95_high_percent,direction_rule,direction_retained
Complete analytical sample,all_frozen_corpus,38298,RQ3,C1,strict_feminine_distribution_target,Strictly feminine distribution target,2702,,4186,64.55,63.09,65.98,Descriptive direction: proportion above 50%,Yes
Complete analytical sample,all_frozen_corpus,38298,RQ3,C1,feminine_or_mixed_distribution_target,Feminine or mixed-multiple distribution target,3259,,4186,77.85,76.57,79.09,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ1,B1,distribution_target_position_visible,Distribution target position visible,3967,,4186,94.77,94.05,95.40,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ1,B1,distribution_actor_position_visible,Distribution actor position visible,1053,,4186,25.16,23.86,26.49,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ1,B1,target_minus_actor_visibility_paired_difference,Target-position minus actor-position visibility,2975,61,4186,69.61,68.13,71.10,Descriptive direction: paired difference above zero,Yes
Complete analytical sample,all_frozen_corpus,38298,RQ2,C2,creation_to_distribution_target_position_consistency,Creation-to-distribution target-label consistency,1737,,1773,97.97,97.20,98.53,Descriptive direction: proportion above 50%,Yes
Complete analytical sample,all_frozen_corpus,38298,RQ2,C2,distribution_to_exposure_target_position_consistency,Distribution-to-exposure target-label consistency,3733,,3743,99.73,99.51,99.85,Descriptive direction: proportion above 50%,Yes
Complete analytical sample,all_frozen_corpus,38298,RQ2,C2,three_stage_target_position_consistency,Three-stage target-label consistency,1661,,1697,97.88,97.08,98.46,Descriptive direction: proportion above 50%,Yes
Complete analytical sample,all_frozen_corpus,38298,MQ1,C4,no_visible_authorization_language_frozen_v03,No visible authorization language under frozen v0.3 labels,3417,,4186,81.63,80.43,82.77,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ4,C5,feminine_objectification,Feminine objectification visible,1532,,2702,56.70,54.82,58.56,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ4,C5,any_feminine_person_position,Feminine coding in any of four person-position fields,489,,2702,18.10,16.69,19.59,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ4,C5,objectification_and_all_four_person_positions_absent,Feminine objectification with no feminine coding in four person-position fields,1246,,2702,46.11,44.24,48.00,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ4,C5,objectification_minus_any_person_position_paired_difference,Feminine objectification minus feminine coding in any of four person-position fields,1246,203,2702,38.60,36.25,40.95,Descriptive direction: paired difference above zero,Yes
All probability-track texts,probability_tracks_only,36303,RQ3,C1,strict_feminine_distribution_target,Strictly feminine distribution target,2209,,3469,63.68,62.06,65.26,Descriptive direction: proportion above 50%,Yes
All probability-track texts,probability_tracks_only,36303,RQ3,C1,feminine_or_mixed_distribution_target,Feminine or mixed-multiple distribution target,2660,,3469,76.68,75.24,78.06,No directional rule,Not evaluated
All probability-track texts,probability_tracks_only,36303,RQ1,B1,distribution_target_position_visible,Distribution target position visible,3267,,3469,94.18,93.35,94.91,No directional rule,Not evaluated
All probability-track texts,probability_tracks_only,36303,RQ1,B1,distribution_actor_position_visible,Distribution actor position visible,912,,3469,26.29,24.85,27.78,No directional rule,Not evaluated
All probability-track texts,probability_tracks_only,36303,RQ1,B1,target_minus_actor_visibility_paired_difference,Target-position minus actor-position visibility,2413,58,3469,67.89,66.22,69.56,Descriptive direction: paired difference above zero,Yes
All probability-track texts,probability_tracks_only,36303,RQ2,C2,creation_to_distribution_target_position_consistency,Creation-to-distribution target-label consistency,1437,,1466,98.02,97.17,98.62,Descriptive direction: proportion above 50%,Yes
All probability-track texts,probability_tracks_only,36303,RQ2,C2,distribution_to_exposure_target_position_consistency,Distribution-to-exposure target-label consistency,3056,,3063,99.77,99.53,99.89,Descriptive direction: proportion above 50%,Yes
All probability-track texts,probability_tracks_only,36303,RQ2,C2,three_stage_target_position_consistency,Three-stage target-label consistency,1366,,1395,97.92,97.03,98.55,Descriptive direction: proportion above 50%,Yes
All probability-track texts,probability_tracks_only,36303,MQ1,C4,no_visible_authorization_language_frozen_v03,No visible authorization language under frozen v0.3 labels,2858,,3469,82.39,81.08,83.62,No directional rule,Not evaluated
All probability-track texts,probability_tracks_only,36303,RQ4,C5,feminine_objectification,Feminine objectification visible,1267,,2209,57.36,55.28,59.40,No directional rule,Not evaluated
All probability-track texts,probability_tracks_only,36303,RQ4,C5,any_feminine_person_position,Feminine coding in any of four person-position fields,415,,2209,18.79,17.21,20.47,No directional rule,Not evaluated
All probability-track texts,probability_tracks_only,36303,RQ4,C5,objectification_and_all_four_person_positions_absent,Feminine objectification with no feminine coding in four person-position fields,1028,,2209,46.54,44.46,48.62,No directional rule,Not evaluated
All probability-track texts,probability_tracks_only,36303,RQ4,C5,objectification_minus_any_person_position_paired_difference,Feminine objectification minus feminine coding in any of four person-position fields,1028,176,2209,38.57,35.94,41.20,Descriptive direction: paired difference above zero,Yes
Later annotation-sequence probability texts,run70_probability_only,33308,RQ3,C1,strict_feminine_distribution_target,Strictly feminine distribution target,2030,,3188,63.68,61.99,65.33,Descriptive direction: proportion above 50%,Yes
Later annotation-sequence probability texts,run70_probability_only,33308,RQ3,C1,feminine_or_mixed_distribution_target,Feminine or mixed-multiple distribution target,2440,,3188,76.54,75.03,77.98,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ1,B1,distribution_target_position_visible,Distribution target position visible,3000,,3188,94.10,93.23,94.87,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ1,B1,distribution_actor_position_visible,Distribution actor position visible,850,,3188,26.66,25.16,28.22,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ1,B1,target_minus_actor_visibility_paired_difference,Target-position minus actor-position visibility,2206,56,3188,67.44,65.69,69.19,Descriptive direction: paired difference above zero,Yes
Later annotation-sequence probability texts,run70_probability_only,33308,RQ2,C2,creation_to_distribution_target_position_consistency,Creation-to-distribution target-label consistency,1312,,1337,98.13,97.25,98.73,Descriptive direction: proportion above 50%,Yes
Later annotation-sequence probability texts,run70_probability_only,33308,RQ2,C2,distribution_to_exposure_target_position_consistency,Distribution-to-exposure target-label consistency,2803,,2810,99.75,99.49,99.88,Descriptive direction: proportion above 50%,Yes
Later annotation-sequence probability texts,run70_probability_only,33308,RQ2,C2,three_stage_target_position_consistency,Three-stage target-label consistency,1244,,1270,97.95,97.02,98.60,Descriptive direction: proportion above 50%,Yes
Later annotation-sequence probability texts,run70_probability_only,33308,MQ1,C4,no_visible_authorization_language_frozen_v03,No visible authorization language under frozen v0.3 labels,2645,,3188,82.97,81.62,84.23,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ4,C5,feminine_objectification,Feminine objectification visible,1182,,2030,58.23,56.07,60.35,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ4,C5,any_feminine_person_position,Feminine coding in any of four person-position fields,378,,2030,18.62,16.99,20.37,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ4,C5,objectification_and_all_four_person_positions_absent,Feminine objectification with no feminine coding in four person-position fields,961,,2030,47.34,45.17,49.51,No directional rule,Not evaluated
Later annotation-sequence probability texts,run70_probability_only,33308,RQ4,C5,objectification_minus_any_person_position_paired_difference,Feminine objectification minus feminine coding in any of four person-position fields,961,157,2030,39.61,36.88,42.34,Descriptive direction: paired difference above zero,Yes
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ3,C1,strict_feminine_distribution_target,Strictly feminine distribution target,179,,281,63.70,57.93,69.10,Descriptive direction: proportion above 50%,Yes
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ3,C1,feminine_or_mixed_distribution_target,Feminine or mixed-multiple distribution target,220,,281,78.29,73.11,82.71,No directional rule,Not evaluated
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ1,B1,distribution_target_position_visible,Distribution target position visible,267,,281,95.02,91.81,97.01,No directional rule,Not evaluated
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ1,B1,distribution_actor_position_visible,Distribution actor position visible,62,,281,22.06,17.61,27.27,No directional rule,Not evaluated
Frozen-layer probability texts,frozen5000_probability_only,2995,RQ1,B1,target_minus_actor_visibility_paired_difference,Target-position minus actor-position visibility,207,2,281,72.95,67.57,78.34,Descriptive direction: paired difference above zero,Yes
