scope,source_scope_id,scope_records,analysis,source_analysis_id,source_metric_id,measure,selected_n,comparison_selected_n,eligible_n,estimate_percent,heuristic_95_low_percent,heuristic_95_high_percent,direction_rule,direction_retained
Complete analytical sample,all_frozen_corpus,38298,RQ3,C1,strict_feminine_distribution_target,Strictly feminine distribution target,2702,,4186,64.55,63.09,65.98,Descriptive direction: proportion above 50%,Yes
Complete analytical sample,all_frozen_corpus,38298,RQ3,C1,feminine_or_mixed_distribution_target,Feminine or mixed-multiple distribution target,3259,,4186,77.85,76.57,79.09,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ1,B1,distribution_target_position_visible,Distribution target position visible,3967,,4186,94.77,94.05,95.40,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ1,B1,distribution_actor_position_visible,Distribution actor position visible,1053,,4186,25.16,23.86,26.49,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ1,B1,target_minus_actor_visibility_paired_difference,Target-position minus actor-position visibility,2975,61,4186,69.61,68.13,71.10,Descriptive direction: paired difference above zero,Yes
Complete analytical sample,all_frozen_corpus,38298,RQ2,C2,creation_to_distribution_target_position_consistency,Creation-to-distribution target-label consistency,1737,,1773,97.97,97.20,98.53,Descriptive direction: proportion above 50%,Yes
Complete analytical sample,all_frozen_corpus,38298,RQ2,C2,distribution_to_exposure_target_position_consistency,Distribution-to-exposure target-label consistency,3733,,3743,99.73,99.51,99.85,Descriptive direction: proportion above 50%,Yes
Complete analytical sample,all_frozen_corpus,38298,RQ2,C2,three_stage_target_position_consistency,Three-stage target-label consistency,1661,,1697,97.88,97.08,98.46,Descriptive direction: proportion above 50%,Yes
Complete analytical sample,all_frozen_corpus,38298,MQ1,C4,no_visible_authorization_language_frozen_v03,No visible authorization language under frozen v0.3 labels,3417,,4186,81.63,80.43,82.77,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ4,C5,feminine_objectification,Feminine objectification visible,1532,,2702,56.70,54.82,58.56,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ4,C5,any_feminine_person_position,Feminine coding in any of four person-position fields,489,,2702,18.10,16.69,19.59,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ4,C5,objectification_and_all_four_person_positions_absent,Feminine objectification with no feminine coding in four person-position fields,1246,,2702,46.11,44.24,48.00,No directional rule,Not evaluated
Complete analytical sample,all_frozen_corpus,38298,RQ4,C5,objectification_minus_any_person_position_paired_difference,Feminine objectification minus feminine coding in any of four person-position fields,1246,203,2702,38.60,36.25,40.95,Descriptive direction: paired difference above zero,Yes
Texts without an adjudication flag,no_adjudication_flag,37609,RQ3,C1,strict_feminine_distribution_target,Strictly feminine distribution target,2640,,4091,64.53,63.05,65.98,Descriptive direction: proportion above 50%,Yes
Texts without an adjudication flag,no_adjudication_flag,37609,RQ3,C1,feminine_or_mixed_distribution_target,Feminine or mixed-multiple distribution target,3190,,4091,77.98,76.68,79.22,No directional rule,Not evaluated
Texts without an adjudication flag,no_adjudication_flag,37609,RQ1,B1,distribution_target_position_visible,Distribution target position visible,3882,,4091,94.89,94.17,95.52,No directional rule,Not evaluated
Texts without an adjudication flag,no_adjudication_flag,37609,RQ1,B1,distribution_actor_position_visible,Distribution actor position visible,1031,,4091,25.20,23.89,26.55,No directional rule,Not evaluated
Texts without an adjudication flag,no_adjudication_flag,37609,RQ1,B1,target_minus_actor_visibility_paired_difference,Target-position minus actor-position visibility,2909,58,4091,69.69,68.19,71.19,Descriptive direction: paired difference above zero,Yes
Texts without an adjudication flag,no_adjudication_flag,37609,RQ2,C2,creation_to_distribution_target_position_consistency,Creation-to-distribution target-label consistency,1708,,1744,97.94,97.16,98.51,Descriptive direction: proportion above 50%,Yes
Texts without an adjudication flag,no_adjudication_flag,37609,RQ2,C2,distribution_to_exposure_target_position_consistency,Distribution-to-exposure target-label consistency,3652,,3662,99.73,99.50,99.85,Descriptive direction: proportion above 50%,Yes
Texts without an adjudication flag,no_adjudication_flag,37609,RQ2,C2,three_stage_target_position_consistency,Three-stage target-label consistency,1632,,1668,97.84,97.03,98.44,Descriptive direction: proportion above 50%,Yes
Texts without an adjudication flag,no_adjudication_flag,37609,MQ1,C4,no_visible_authorization_language_frozen_v03,No visible authorization language under frozen v0.3 labels,3341,,4091,81.67,80.45,82.82,No directional rule,Not evaluated
Texts without an adjudication flag,no_adjudication_flag,37609,RQ4,C5,feminine_objectification,Feminine objectification visible,1494,,2640,56.59,54.69,58.47,No directional rule,Not evaluated
Texts without an adjudication flag,no_adjudication_flag,37609,RQ4,C5,any_feminine_person_position,Feminine coding in any of four person-position fields,474,,2640,17.95,16.54,19.46,No directional rule,Not evaluated
Texts without an adjudication flag,no_adjudication_flag,37609,RQ4,C5,objectification_and_all_four_person_positions_absent,Feminine objectification with no feminine coding in four person-position fields,1215,,2640,46.02,44.13,47.93,No directional rule,Not evaluated
Texts without an adjudication flag,no_adjudication_flag,37609,RQ4,C5,objectification_minus_any_person_position_paired_difference,Feminine objectification minus feminine coding in any of four person-position fields,1215,195,2640,38.64,36.27,41.00,Descriptive direction: paired difference above zero,Yes
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,RQ3,C1,strict_feminine_distribution_target,Strictly feminine distribution target,2050,,3190,64.26,62.58,65.91,Descriptive direction: proportion above 50%,Yes
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,RQ3,C1,feminine_or_mixed_distribution_target,Feminine or mixed-multiple distribution target,2472,,3190,77.49,76.01,78.91,No directional rule,Not evaluated
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,RQ1,B1,distribution_target_position_visible,Distribution target position visible,3010,,3190,94.36,93.50,95.11,No directional rule,Not evaluated
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,RQ1,B1,distribution_actor_position_visible,Distribution actor position visible,873,,3190,27.37,25.85,28.94,No directional rule,Not evaluated
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,RQ1,B1,target_minus_actor_visibility_paired_difference,Target-position minus actor-position visibility,2190,53,3190,66.99,65.24,68.74,Descriptive direction: paired difference above zero,Yes
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,RQ2,C2,creation_to_distribution_target_position_consistency,Creation-to-distribution target-label consistency,1287,,1312,98.09,97.20,98.71,Descriptive direction: proportion above 50%,Yes
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,RQ2,C2,distribution_to_exposure_target_position_consistency,Distribution-to-exposure target-label consistency,2814,,2822,99.72,99.44,99.86,Descriptive direction: proportion above 50%,Yes
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,RQ2,C2,three_stage_target_position_consistency,Three-stage target-label consistency,1220,,1245,97.99,97.05,98.64,Descriptive direction: proportion above 50%,Yes
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,MQ1,C4,no_visible_authorization_language_frozen_v03,No visible authorization language under frozen v0.3 labels,2602,,3190,81.57,80.18,82.87,No directional rule,Not evaluated
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,RQ4,C5,feminine_objectification,Feminine objectification visible,1131,,2050,55.17,53.01,57.31,No directional rule,Not evaluated
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,RQ4,C5,any_feminine_person_position,Feminine coding in any of four person-position fields,349,,2050,17.02,15.46,18.71,No directional rule,Not evaluated
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,RQ4,C5,objectification_and_all_four_person_positions_absent,Feminine objectification with no feminine coding in four person-position fields,938,,2050,45.76,43.61,47.92,No directional rule,Not evaluated
Texts meeting the evidence-complete diagnostic,evidence_complete,33823,RQ4,C5,objectification_minus_any_person_position_paired_difference,Feminine objectification minus feminine coding in any of four person-position fields,938,156,2050,38.15,35.45,40.84,Descriptive direction: paired difference above zero,Yes
Texts without a normalization action,no_normalization_action,20374,RQ3,C1,strict_feminine_distribution_target,Strictly feminine distribution target,1027,,1629,63.04,60.67,65.36,Descriptive direction: proportion above 50%,Yes
Texts without a normalization action,no_normalization_action,20374,RQ3,C1,feminine_or_mixed_distribution_target,Feminine or mixed-multiple distribution target,1244,,1629,76.37,74.24,78.37,No directional rule,Not evaluated
Texts without a normalization action,no_normalization_action,20374,RQ1,B1,distribution_target_position_visible,Distribution target position visible,1527,,1629,93.74,92.46,94.82,No directional rule,Not evaluated
Texts without a normalization action,no_normalization_action,20374,RQ1,B1,distribution_actor_position_visible,Distribution actor position visible,401,,1629,24.62,22.59,26.77,No directional rule,Not evaluated
