sensitivity_family,source_sensitivity_family_id,analysis,source_analysis_id,source_metric_id,measure,variant_count,minimum_eligible_n,maximum_eligible_n,minimum_percent,maximum_percent,direction_evaluated_variants,direction_failure_count
Sampling-composition scopes,sampling_composition_scope,RQ1,B1,distribution_actor_position_visible,Distribution actor position visible,5,281,4186,19.67,26.66,0,not_applicable
Sampling-composition scopes,sampling_composition_scope,RQ1,B1,distribution_target_position_visible,Distribution target position visible,5,281,4186,94.10,97.63,0,not_applicable
Sampling-composition scopes,sampling_composition_scope,RQ1,B1,target_minus_actor_visibility_paired_difference,Target-position minus actor-position visibility,5,281,4186,67.44,77.96,5,0
Sampling-composition scopes,sampling_composition_scope,RQ3,C1,feminine_or_mixed_distribution_target,Feminine or mixed-multiple distribution target,5,281,4186,76.54,83.54,0,not_applicable
Sampling-composition scopes,sampling_composition_scope,RQ3,C1,strict_feminine_distribution_target,Strictly feminine distribution target,5,281,4186,63.68,68.76,5,0
Sampling-composition scopes,sampling_composition_scope,RQ2,C2,creation_to_distribution_target_position_consistency,Creation-to-distribution target-label consistency,5,129,1773,96.90,98.13,5,0
Sampling-composition scopes,sampling_composition_scope,RQ2,C2,distribution_to_exposure_target_position_consistency,Distribution-to-exposure target-label consistency,5,253,3743,99.56,100.00,5,0
Sampling-composition scopes,sampling_composition_scope,RQ2,C2,three_stage_target_position_consistency,Three-stage target-label consistency,5,125,1697,97.60,97.95,5,0
Sampling-composition scopes,sampling_composition_scope,MQ1,C4,no_visible_authorization_language_frozen_v03,No visible authorization language under frozen v0.3 labels,5,281,4186,75.80,82.97,0,not_applicable
Sampling-composition scopes,sampling_composition_scope,RQ4,C5,any_feminine_person_position,Feminine coding in any of four person-position fields,5,179,2702,15.01,20.67,0,not_applicable
Sampling-composition scopes,sampling_composition_scope,RQ4,C5,feminine_objectification,Feminine objectification visible,5,179,2702,47.49,58.23,0,not_applicable
Sampling-composition scopes,sampling_composition_scope,RQ4,C5,objectification_and_all_four_person_positions_absent,Feminine objectification with no feminine coding in four person-position fields,5,179,2702,37.43,47.34,0,not_applicable
